observed_at_utc,observed_at_kyiv,site_updated_at,train_number,on_delay_page,delay_minutes,scheduled_departure_bila_tserkva,scheduled_arrival_lviv,departure_date,origin_station,destination_station,forecast_arrival,scheduled_arrival,status,forecast_reliability,reason,bila_tserkva_delay_minutes,bila_tserkva_forecast,bila_tserkva_scheduled,bila_tserkva_passed,lviv_delay_minutes,lviv_forecast,lviv_scheduled,lviv_passed
2026-09-20T06:53:15+00:00,2026-09-20 09:53,20 вересня 09:50,233/234,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T06:53:15+00:00,2026-09-20 09:53,20 вересня 09:50,3/4,yes,580,23:17,05:47,19.09,Дніпро-Головний,Ужгород,20:50,11:10,В дорозі,Середня,—,,,,,,,,
2026-09-20T06:53:15+00:00,2026-09-20 09:53,20 вересня 09:50,31/32,yes,580,23:17,05:47,19.09,Запоріжжя-1,Перемишль,18:59,09:19,В дорозі,Середня,—,,,,,,,,
2026-09-20T06:53:15+00:00,2026-09-20 09:53,20 вересня 09:50,85/86,yes,279,23:43,06:02,,Дніпро-Головний,Львів,10:41,06:02,В дорозі,Висока,—,,,,,,,,
2026-09-20T06:53:15+00:00,2026-09-20 09:53,20 вересня 09:50,5/6,yes,279,23:43,06:02,,Запоріжжя-1,Ясіня,16:47,12:08,В дорозі,Висока,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,41/42,yes,806,00:31,09:33,19.09,Дніпро-Головний,Трускавець,01:36,12:10,В дорозі,Висока,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,285/286,yes,806,00:31,09:33,19.09,Дніпро-Головний,Львів,22:59,09:33,В дорозі,Висока,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,109/110,yes,60,22:47,08:18,,Миколаїв Пас.,Львів,—,—,Готується,Низька,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,39/40,no,0,01:56,08:48,,,,,,,,,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,61/62,yes,564,22:28,04:50,,Дніпро-Головний,Івано-Франківськ,21:17,07:21,В дорозі,Висока,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,293/294,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,261/262,yes,564,22:28,04:50,,Дніпро-Головний,Чернівці,19:02,09:38,В дорозі,Висока,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,233/234,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,3/4,yes,897,23:17,05:47,19.09,Дніпро-Головний,Ужгород,02:07,11:10,В дорозі,Висока,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,31/32,yes,897,23:17,05:47,19.09,Запоріжжя-1,Перемишль,00:16,09:19,В дорозі,Висока,—,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-20T12:07:57+00:00,2026-09-20 15:07,20 вересня 15:07,5/6,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,41/42,yes,812,00:31,09:33,19.09,Дніпро-Головний,Трускавець,01:42,12:10,В дорозі,Висока,—,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,285/286,yes,812,00:31,09:33,19.09,Дніпро-Головний,Львів,23:05,09:33,В дорозі,Висока,—,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,109/110,yes,360,22:47,08:18,,Миколаїв Пас.,Львів,—,—,Готується,Низька,—,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,39/40,yes,96,01:56,08:48,,Запоріжжя-1,Солотвино-1,19:06,17:30,В дорозі,Висока,—,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,293/294,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,233/234,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,3/4,yes,927,23:17,05:47,19.09,Дніпро-Головний,Ужгород,02:37,11:10,В дорозі,Висока,—,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,31/32,yes,927,23:17,05:47,19.09,Запоріжжя-1,Перемишль,00:46,09:19,В дорозі,Висока,—,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,85/86,yes,49,23:43,06:02,,Дніпро-Головний,Львів,06:51,06:02,В дорозі,Висока,—,,,,,,,,
2026-09-20T21:18:17+00:00,2026-09-21 00:18,21 вересня 00:18,5/6,yes,49,23:43,06:02,,Запоріжжя-1,Ясіня,12:57,12:08,В дорозі,Висока,—,,,,,,,,
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,41/42,yes,812,00:31,09:33,19.09,Дніпро-Головний,Трускавець,01:42,12:10,В дорозі,Висока,—,812,14:01,00:29,no,812,23:05,09:33,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,41/42,yes,225,00:31,09:33,20.09,Дніпро-Головний,Трускавець,15:55,12:10,В дорозі,Висока,—,225,04:14,00:29,no,225,13:18,09:33,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,285/286,yes,812,00:31,09:33,19.09,Дніпро-Головний,Львів,23:05,09:33,В дорозі,Висока,—,812,14:01,00:29,no,812,23:05,09:33,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,285/286,yes,225,00:31,09:33,20.09,Дніпро-Головний,Львів,13:18,09:33,В дорозі,Висока,—,225,04:14,00:29,no,225,13:18,09:33,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,109/110,yes,600,22:47,08:18,,Миколаїв Пас.,Львів,—,—,Готується,Низька,—,,,,,,,,
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,39/40,yes,91,01:56,08:48,,Запоріжжя-1,Солотвино-1,19:01,17:30,В дорозі,Висока,—,91,03:25,01:54,no,91,10:19,08:48,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,293/294,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,233/234,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,3/4,yes,927,23:17,05:47,19.09,Дніпро-Головний,Ужгород,02:37,11:10,В дорозі,Висока,—,,—,23:15,yes,927,21:14,05:47,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,3/4,yes,390,23:17,05:47,20.09,Дніпро-Головний,Ужгород,17:40,11:10,В дорозі,Висока,—,,—,23:15,yes,390,12:17,05:47,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,31/32,yes,927,23:17,05:47,19.09,Запоріжжя-1,Перемишль,00:46,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,927,21:14,05:47,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,31/32,yes,81,23:17,05:47,20.09,Запоріжжя-1,Перемишль,10:40,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,81,07:08,05:47,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,85/86,yes,49,23:43,06:02,,Дніпро-Головний,Львів,06:51,06:02,В дорозі,Висока,—,50,00:31,23:41,yes,49,06:51,06:02,no
2026-09-20T21:53:42+00:00,2026-09-21 00:53,21 вересня 00:51,5/6,yes,49,23:43,06:02,,Запоріжжя-1,Ясіня,12:57,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,49,06:51,06:02,no
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,41/42,yes,299,00:31,09:33,20.09,Дніпро-Головний,Трускавець,17:09,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,299,14:32,09:33,no
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,285/286,yes,299,00:31,09:33,20.09,Дніпро-Головний,Львів,14:32,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,299,14:32,09:33,no
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,109/110,yes,797,22:47,08:18,,Миколаїв Пас.,Львів,21:35,08:18,В дорозі,Висока,—,,—,22:45,yes,797,21:35,08:18,no
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,39/40,yes,144,01:56,08:48,,Запоріжжя-1,Солотвино-1,19:54,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,144,11:12,08:48,no
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,293/294,yes,691,22:28,04:50,,Кривий Ріг-Головний,Рахів,22:57,11:26,В дорозі,Висока,—,,—,22:26,yes,,—,04:50,yes
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,233/234,yes,691,22:28,04:50,,Кривий Ріг-Головний,Чернівці,21:09,09:38,В дорозі,Висока,—,,—,22:26,yes,,—,04:50,yes
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,3/4,yes,505,23:17,05:47,20.09,Дніпро-Головний,Ужгород,19:35,11:10,В дорозі,Висока,—,,—,23:15,yes,,—,05:47,yes
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,31/32,yes,150,23:17,05:47,20.09,Запоріжжя-1,Перемишль,11:49,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,156,08:23,05:47,yes
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-21T05:46:58+00:00,2026-09-21 08:46,21 вересня 08:46,5/6,yes,128,23:43,06:02,,Запоріжжя-1,Ясіня,14:16,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,136,08:18,06:02,yes
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,41/42,yes,298,00:31,09:33,20.09,Дніпро-Головний,Трускавець,17:08,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,298,14:31,09:33,no
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,285/286,yes,298,00:31,09:33,20.09,Дніпро-Головний,Львів,14:31,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,298,14:31,09:33,no
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,109/110,yes,791,22:47,08:18,,Миколаїв Пас.,Львів,21:29,08:18,В дорозі,Висока,—,791,11:56,22:45,no,791,21:29,08:18,no
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,39/40,yes,143,01:56,08:48,,Запоріжжя-1,Солотвино-1,19:53,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,143,11:11,08:48,no
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,293/294,yes,689,22:28,04:50,,Кривий Ріг-Головний,Рахів,22:55,11:26,В дорозі,Висока,—,,—,22:26,yes,,—,04:50,yes
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,233/234,yes,689,22:28,04:50,,Кривий Ріг-Головний,Чернівці,21:07,09:38,В дорозі,Висока,—,,—,22:26,yes,,—,04:50,yes
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,3/4,yes,505,23:17,05:47,20.09,Дніпро-Головний,Ужгород,19:35,11:10,В дорозі,Висока,—,,—,23:15,yes,,—,05:47,yes
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,31/32,yes,134,23:17,05:47,20.09,Запоріжжя-1,Перемишль,11:33,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,156,08:23,05:47,yes
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-21T06:17:03+00:00,2026-09-21 09:17,21 вересня 09:17,5/6,yes,128,23:43,06:02,,Запоріжжя-1,Ясіня,14:16,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,136,08:18,06:02,yes
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,41/42,yes,300,00:31,09:33,20.09,Дніпро-Головний,Трускавець,17:10,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,300,14:33,09:33,no
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,285/286,yes,300,00:31,09:33,20.09,Дніпро-Головний,Львів,14:33,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,300,14:33,09:33,no
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,109/110,yes,773,22:47,08:18,,Миколаїв Пас.,Львів,21:11,08:18,В дорозі,Висока,—,773,11:38,22:45,no,773,21:11,08:18,no
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,39/40,yes,144,01:56,08:48,,Запоріжжя-1,Солотвино-1,19:54,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,,—,08:48,yes
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,293/294,yes,716,22:28,04:50,,Кривий Ріг-Головний,Рахів,23:22,11:26,В дорозі,Висока,—,,—,22:26,yes,,—,04:50,yes
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,233/234,yes,716,22:28,04:50,,Кривий Ріг-Головний,Чернівці,21:34,09:38,В дорозі,Висока,—,,—,22:26,yes,,—,04:50,yes
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,3/4,yes,505,23:17,05:47,20.09,Дніпро-Головний,Ужгород,19:35,11:10,В дорозі,Висока,—,,—,23:15,yes,,—,05:47,yes
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,31/32,yes,134,23:17,05:47,20.09,Запоріжжя-1,Перемишль,11:33,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,156,08:23,05:47,yes
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-21T06:47:06+00:00,2026-09-21 09:47,21 вересня 09:46,5/6,yes,127,23:43,06:02,,Запоріжжя-1,Ясіня,14:15,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,136,08:18,06:02,yes
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,41/42,yes,300,00:31,09:33,20.09,Дніпро-Головний,Трускавець,17:10,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,,—,09:33,yes
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,285/286,yes,300,00:31,09:33,20.09,Дніпро-Головний,Львів,14:33,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,300,14:33,09:33,no
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,109/110,yes,763,22:47,08:18,,Миколаїв Пас.,Львів,21:01,08:18,В дорозі,Висока,—,763,11:28,22:45,no,763,21:01,08:18,no
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,39/40,yes,144,01:56,08:48,,Запоріжжя-1,Солотвино-1,19:54,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,,—,08:48,yes
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,293/294,yes,720,22:28,04:50,,Кривий Ріг-Головний,Рахів,23:26,11:26,В дорозі,Висока,—,,—,22:26,yes,,—,04:50,yes
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,233/234,yes,720,22:28,04:50,,Кривий Ріг-Головний,Чернівці,21:38,09:38,В дорозі,Висока,—,720,10:26,22:26,no,720,16:50,04:50,no
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,3/4,yes,608,23:17,05:47,20.09,Дніпро-Головний,Ужгород,21:18,11:10,В дорозі,Висока,—,,—,23:15,yes,,—,05:47,yes
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,31/32,yes,134,23:17,05:47,20.09,Запоріжжя-1,Перемишль,11:33,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,156,08:23,05:47,yes
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-21T07:17:09+00:00,2026-09-21 10:17,21 вересня 10:16,5/6,yes,126,23:43,06:02,,Запоріжжя-1,Ясіня,14:14,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,136,08:18,06:02,yes
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,41/42,yes,298,00:31,09:33,20.09,Дніпро-Головний,Трускавець,17:08,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,,—,09:33,yes
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,285/286,yes,298,00:31,09:33,20.09,Дніпро-Головний,Львів,14:31,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,298,14:31,09:33,no
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,109/110,yes,757,22:47,08:18,,Миколаїв Пас.,Львів,20:55,08:18,В дорозі,Висока,—,757,11:22,22:45,no,757,20:55,08:18,no
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,39/40,yes,157,01:56,08:48,,Запоріжжя-1,Солотвино-1,20:07,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,,—,08:48,yes
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,293/294,yes,718,22:28,04:50,,Кривий Ріг-Головний,Рахів,23:24,11:26,В дорозі,Висока,—,719,10:25,22:26,yes,,—,04:50,yes
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,233/234,yes,718,22:28,04:50,,Кривий Ріг-Головний,Чернівці,21:36,09:38,В дорозі,Висока,—,719,10:25,22:26,yes,718,16:48,04:50,no
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,3/4,yes,624,23:17,05:47,20.09,Дніпро-Головний,Ужгород,21:34,11:10,В дорозі,Висока,—,,—,23:15,yes,,—,05:47,yes
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,31/32,yes,115,23:17,05:47,20.09,Запоріжжя-1,Перемишль,11:14,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,156,08:23,05:47,yes
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-21T07:47:12+00:00,2026-09-21 10:47,21 вересня 10:43,5/6,yes,138,23:43,06:02,,Запоріжжя-1,Ясіня,14:26,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,136,08:18,06:02,yes
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,41/42,yes,287,00:31,09:33,20.09,Дніпро-Головний,Трускавець,16:57,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,,—,09:33,yes
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,285/286,yes,287,00:31,09:33,20.09,Дніпро-Головний,Львів,14:20,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,287,14:20,09:33,no
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,109/110,yes,760,22:47,08:18,,Миколаїв Пас.,Львів,20:58,08:18,В дорозі,Висока,—,760,11:25,22:45,no,760,20:58,08:18,no
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,39/40,yes,157,01:56,08:48,,Запоріжжя-1,Солотвино-1,20:07,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,,—,08:48,yes
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,293/294,yes,718,22:28,04:50,,Кривий Ріг-Головний,Рахів,23:24,11:26,В дорозі,Висока,—,719,10:25,22:26,yes,,—,04:50,yes
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,233/234,yes,718,22:28,04:50,,Кривий Ріг-Головний,Чернівці,21:36,09:38,В дорозі,Висока,—,719,10:25,22:26,yes,718,16:48,04:50,no
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,3/4,yes,636,23:17,05:47,20.09,Дніпро-Головний,Ужгород,21:46,11:10,В дорозі,Висока,—,,—,23:15,yes,,—,05:47,yes
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,31/32,yes,115,23:17,05:47,20.09,Запоріжжя-1,Перемишль,11:14,09:19,В дорозі,Висока,—,86,00:41,23:15,yes,156,08:23,05:47,yes
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-21T08:17:15+00:00,2026-09-21 11:17,21 вересня 11:16,5/6,yes,138,23:43,06:02,,Запоріжжя-1,Ясіня,14:26,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,136,08:18,06:02,yes
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,41/42,yes,303,00:31,09:33,20.09,Дніпро-Головний,Трускавець,17:13,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,,—,09:33,yes
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,285/286,yes,303,00:31,09:33,20.09,Дніпро-Головний,Львів,14:36,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,303,14:36,09:33,no
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,109/110,yes,764,22:47,08:18,,Миколаїв Пас.,Львів,21:02,08:18,В дорозі,Висока,—,764,11:29,22:45,yes,764,21:02,08:18,no
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,39/40,yes,157,01:56,08:48,,Запоріжжя-1,Солотвино-1,20:07,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,168,11:36,08:48,yes
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,293/294,yes,736,22:28,04:50,,Кривий Ріг-Головний,Рахів,23:42,11:26,В дорозі,Висока,—,719,10:25,22:26,yes,,—,04:50,yes
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,261/262,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,233/234,yes,736,22:28,04:50,,Кривий Ріг-Головний,Чернівці,21:54,09:38,В дорозі,Висока,—,719,10:25,22:26,yes,736,17:06,04:50,no
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,3/4,yes,640,23:17,05:47,20.09,Дніпро-Головний,Ужгород,21:50,11:10,В дорозі,Висока,—,,—,23:15,yes,640,16:27,05:47,no
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,31/32,no,0,23:17,05:47,,,,,,,,,,,,,,,,
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,85/86,no,0,23:43,06:02,,,,,,,,,,,,,,,,
2026-09-21T08:47:19+00:00,2026-09-21 11:47,21 вересня 11:46,5/6,yes,161,23:43,06:02,,Запоріжжя-1,Ясіня,14:49,12:08,В дорозі,Висока,—,50,00:31,23:41,yes,136,08:18,06:02,yes
2026-09-21T09:17:23+00:00,2026-09-21 12:17,21 вересня 12:13,41/42,yes,312,00:31,09:33,20.09,Дніпро-Головний,Трускавець,17:22,12:10,В дорозі,Висока,—,286,05:15,00:29,yes,,—,09:33,yes
2026-09-21T09:17:23+00:00,2026-09-21 12:17,21 вересня 12:13,285/286,yes,312,00:31,09:33,20.09,Дніпро-Головний,Львів,14:45,09:33,В дорозі,Висока,—,286,05:15,00:29,yes,312,14:45,09:33,no
2026-09-21T09:17:23+00:00,2026-09-21 12:17,21 вересня 12:13,109/110,yes,764,22:47,08:18,,Миколаїв Пас.,Львів,21:02,08:18,В дорозі,Висока,—,764,11:29,22:45,yes,764,21:02,08:18,no
2026-09-21T09:17:23+00:00,2026-09-21 12:17,21 вересня 12:13,39/40,yes,168,01:56,08:48,,Запоріжжя-1,Солотвино-1,20:18,17:30,В дорозі,Висока,—,77,03:11,01:54,yes,168,11:36,08:48,yes
2026-09-21T09:17:23+00:00,2026-09-21 12:17,21 вересня 12:13,61/62,no,0,22:28,04:50,,,,,,,,,,,,,,,,
2026-09-21T09:17:23+00:00,2026-09-21 12:17,21 вересня 12:13,293/294,yes,748,22:28,04:50,,Кривий Ріг-Головний,Рахів,23:54,11:26,В дорозі,Висока,—,719,10:25,22:26,yes,748,17:18,04:50,no
